time,ax,ay,az,atotal
0.010112047,0.22,0.4,-0.23,0.51
0.017267227,0.28,0.39,-0.12,0.49
0.026431084,0.12,0.4,-0.06,0.42
0.036256075,-0.17,0.35,0.01,0.38
0.045953035,-0.43,0.2,0.23,0.52
0.056016922,-0.35,0.16,0.31,0.49
0.067847252,-0.16,0.24,0.18,0.34
0.076191902,0.12,0.38,-0.01,0.39
0.090023994,0.31,0.53,-0.19,0.64
0.095854044,0.3,0.45,-0.16,0.56
0.105925083,0.13,0.26,-0.06,0.29
0.11631918,-0.07,0.19,-0.1,0.22
0.126167059,0.01,0.35,-0.22,0.41
0.136316061,0.49,0.78,-0.43,1.01
0.14628911,1.06,1.14,-0.59,1.66
0.156160116,1.48,1.22,-0.63,2.01
0.165981054,1.61,0.95,-0.49,1.93
0.176255226,1.38,0.47,-0.23,1.47
0.190498114,1.11,0.03,0.03,1.11
0.195580959,0.75,-0.46,0.18,0.89
0.20559597,0.41,-0.97,0.33,1.1
0.215327024,0.37,-1.04,0.37,1.16
0.226073027,0.35,-0.78,0.21,0.88
0.235971928,0.16,-0.34,-0.05,0.37
0.24571991,0.02,-0.05,-0.28,0.28
0.255668163,0.09,-0.05,-0.53,0.53
0.265962124,0.18,-0.36,-0.68,0.79
0.275440216,0.12,-0.61,-0.55,0.83
0.290953159,-0.65,-0.58,-0.07,0.87
0.295113087,-1.65,-0.35,0.65,1.8
0.305167198,-2.07,-0.35,1.36,2.5
0.314979076,-2.15,-1.05,1.85,3.02
0.325674057,-2.1,-1.62,2.05,3.35
0.336283207,-1.74,-1.38,2.15,3.09
0.345637083,-1.12,-0.82,2.11,2.52
0.355670929,-0.32,-0.23,1.77,1.81
0.366019249,0.46,0.23,1.4,1.49
0.375498056,0.8,0.5,1.18,1.51
0.391726017,1.07,0.62,1.05,1.62
0.394977093,1.54,0.69,-0.59,1.78
0.405034065,2.17,0.96,-2.25,3.27
0.415260077,2.61,0.75,-1.43,3.06
0.425723076,2.07,0.1,-1.7,2.68
0.436852932,0.98,-0.42,-1.75,2.04
0.445233107,0.47,-0.04,-1.48,1.55
0.455105066,0.04,0.15,-0.91,0.92
0.46491909,-0.63,-0.11,-0.18,0.66
0.475551128,-0.78,-0.17,0.27,0.84
0.492065907,-0.32,0,0.16,0.35
0.494718075,0.44,0.03,-0.28,0.52
0.504697084,0.93,0.03,-0.7,1.16
0.514973164,0.89,0.17,-0.97,1.32
0.525255203,0.44,-0.13,-1.29,1.36
0.536571026,0.03,-0.94,-1.79,2.02
0.544755936,-0.32,-0.54,-2.18,2.26
0.555305958,-1.04,0.64,-2.49,2.77
0.564582109,-0.91,0.4,-2.33,2.53
0.574779987,-0.34,-0.27,-1.58,1.63
0.590460062,-0.33,-0.81,-1.01,1.33
0.594192028,0.1,-1.55,-1.24,1.98
0.604437113,0.38,-0.33,-1.09,1.2
0.614361048,-0.08,1.09,-0.88,1.4
0.624931097,0.4,0.95,-0.47,1.13
0.6360569,1.17,0.61,0.16,1.32
0.644193172,1.57,0.53,0.56,1.74
0.654494047,2.25,0.6,0.86,2.48
0.664499044,2.64,0.65,1.24,2.98
0.674571991,2.14,0.67,1.73,2.83
0.684282064,1.35,0.35,1.63,2.14
0.694133043,0.73,0.08,1.25,1.44
0.704500198,0.2,0.15,1.04,1.06
0.714772224,-0.08,0.08,0.83,0.83
0.724838257,-0.13,-0.07,0.59,0.6
0.734199047,-0.41,-0.06,0.16,0.44
0.744405031,-0.74,-0.13,-0.18,0.77
0.754601002,-0.92,-0.28,-0.35,1.02
0.764367104,-0.88,-0.4,-0.61,9.94
0.774573088,-0.56,-0.53,-0.79,9.86
0.784554958,-0.21,-0.46,-0.94,9.88
0.793963909,0.04,-0.47,-1.08,9.87
0.803785086,0.13,-0.69,-1.05,9.85
0.814633131,0.06,-0.7,-1.12,9.88
0.824540138,0.04,-0.62,-1.11,9.89
0.833817959,0.13,-0.74,-1.13,9.88
0.844031096,0.17,-0.62,-1.32,9.87
0.854410172,-0.04,-0.27,-1.22,9.94
0.863883018,-0.29,-0.64,-0.87,9.86
0.874212027,-0.52,-1.5,-0.51,9.88
0.884013176,-0.93,-2.06,-0.47,9.87
0.893602133,-1.26,-2.06,-0.92,9.85
0.904194117,-1.29,-1.45,-1.55,9.85
0.914164066,-1.16,-0.54,-2.09,9.88
0.924292088,-0.75,-0.23,-2.11,9.87
0.934067249,-0.28,-0.31,-1.85,9.88
0.943816185,0.14,-0.3,-1.56,9.86
0.955080986,0.55,-0.57,-1.04,9.86
0.964020252,0.8,-0.99,-0.52,9.87
0.973730087,0.7,-1.12,-0.38,9.94
0.983428955,0.49,-1.01,-0.39,9.86
0.994002104,-0.16,-0.56,-0.64,9.88
1.003826141,-0.74,0.02,-1.12,9.94
1.013726234,-0.93,0.02,-1.28,9.86
1.024021149,-1.27,-0.7,-1.35,9.88
1.033360958,-1.81,-1.55,-1.43,9.88
1.043745995,-1.86,-2.75,-1.67,9.89
1.055170059,-0.3,-6.06,-2.07,9.88
1.064188004,0.5,-9.35,-2.14,9.87
1.074284077,1.17,-9.64,-2.15,9.94
1.083498955,1.13,-9.53,-2.3,9.86
1.093894005,1.14,-9.51,-2.44,9.88
1.104743004,1.17,-9.47,-2.56,9.87
1.113543034,1.2,-9.43,-2.69,9.87
1.12344408,1.22,-9.39,-2.83,9.88
1.133255959,1.26,-9.36,-2.95,9.89
1.143260956,1.3,-9.31,-3.07,9.88
1.154668093,1.32,-9.25,-3.2,9.87
