P(a | English) = 0.0807027381896764
P(b | English) = 0.0139268813086413
P(c | English) = 0.022806849577372324
P(d | English) = 0.04704297398583035
P(e | English) = 0.12491622671444594
P(f | English) = 0.022521336542932955
P(g | English) = 0.020748420275186696
P(h | English) = 0.06581844790327433
P(i | English) = 0.06821026068878737
P(j | English) = 0.001066827146647701
P(k | English) = 0.00795162349208086
P(l | English) = 0.036867084279344584
P(m | English) = 0.02553717482287934
P(n | English) = 0.07071833027874279
P(o | English) = 0.0772543562108488
P(p | English) = 0.016344338977487213
P(q | English) = 0.0011215362310911727
P(r | English) = 0.0617050086166808
P(s | English) = 0.06295134994665864
P(t | English) = 0.08987334846951336
P(u | English) = 0.027746054107284514
P(v | English) = 0.00870216374428974
P(w | English) = 0.023677065951801298
P(x | English) = 0.0011899225866455125
P(y | English) = 0.02027826408075061
P(z | English) = 0.0003658670022157179
