P(a | Spanish) = 0.1362149736159245
P(b | Spanish) = 0.017460510962888143
P(c | Spanish) = 0.04093972588425837
P(d | Spanish) = 0.051218195433726334
P(e | Spanish) = 0.13007436303791295
P(f | Spanish) = 0.005900280385224918
P(g | Spanish) = 0.010229706901656189
P(h | Spanish) = 0.011473154420856481
P(i | Spanish) = 0.06463488967450932
P(j | Spanish) = 0.005402204768290347
P(k | Spanish) = 7.314397171766427e-05
P(l | Spanish) = 0.05810069486773132
P(m | Spanish) = 0.026241270615280123
P(n | Spanish) = 0.07114122011110918
P(o | Spanish) = 0.08809320631824594
P(p | Spanish) = 0.022813953083366714
P(q | Spanish) = 0.011009909266644607
P(r | Spanish) = 0.06501802476445899
P(s | Spanish) = 0.07214782048379513
P(t | Spanish) = 0.04019435398199265
P(u | Spanish) = 0.0457114992772679
P(v | Spanish) = 0.010888002647115166
P(w | Spanish) = 3.1347416450427545e-05
P(x | Spanish) = 0.0012747949356507202
P(y | Spanish) = 0.010069486773131782
P(z | Spanish) = 0.0037338256038731473
